1.0400,2.2000,0.0000,0.0000,0.0000,-0.0175,0.9998,
1.3200,2.2400,0.0000,0.0000,0.0000,-0.0000,1.0000,
3.1200,2.2400,0.0000,0.0000,0.0000,-0.0262,0.9997,
3.4400,1.7200,0.0000,0.0000,0.0000,-0.7431,0.6691,
3.4400,0.5600,0.0000,0.0000,0.0000,-0.7133,0.7009,
3.4400,0.1600,0.0000,0.0000,0.0000,-0.7490,0.6626,
3.0000,-0.1600,0.0000,0.0000,-0.0000,-0.9981,-0.0610,
2.6800,-0.1200,0.0000,0.0000,-0.0000,-0.9986,-0.0523,
2.6000,-0.1200,0.0000,0.0000,-0.0000,-0.9990,-0.0436,
1.8000,-0.1200,0.0000,0.0000,-0.0000,-0.9969,-0.0785,
1.5200,0.4000,0.0000,0.0000,-0.0000,-0.5736,-0.8191,
1.9200,0.6400,0.0000,0.0000,-0.0000,-0.0175,-0.9998,
2.5600,0.9600,0.0000,0.0000,-0.0000,-0.5446,-0.8387,
2.6400,1.2000,0.0000,0.0000,-0.0000,-0.6626,-0.7490,
1.4000,1.4400,0.0000,0.0000,0.0000,-0.9998,0.0175,
1.3200,1.4400,0.0000,0.0000,-0.0000,-1.0000,-0.0087,
1.0000,1.4400,0.0000,0.0000,0.0000,-0.9981,0.0611,
0.0400,-0.0000,0.0000,0.0000,0.0000,-0.9990,0.0436,
